home_elo,away_elo,elo_diff,home_avg_overall,home_max_overall,home_avg_attack,home_avg_defense,home_avg_pace,home_avg_shooting,home_avg_passing,away_avg_overall,away_max_overall,away_avg_attack,away_avg_defense,away_avg_pace,away_avg_shooting,away_avg_passing,overall_diff,attack_diff,defense_diff,home_form_scored,home_form_conceded,home_form_win_rate,away_form_scored,away_form_conceded,away_form_win_rate,is_neutral,is_world_cup,is_continental,home_goals,away_goals,_home_team,_away_team,_date,_tournament,home_trophy_bonus,away_trophy_bonus
1816.742663,1596.276359,220.4663035,78.78571429,81,78.55555556,79.2,75.61538462,70.76923077,71.46153846,73.85714286,79,72.81818182,76.0,77.92307692,67.76923077,64.07692308,4.928571429,5.737373737,3.2,1.0,1.0,0.4,0.4,1.2,0.0,0,0,0,2,2,Mexico,Jamaica,26-03-2023,CONCACAF Nations League A,0.2,0.0
1606.351454,1582.512786,23.83866872,68.0,75,68.625,67.55555556,67.75,59.91666667,64.33333333,71.07142857,76,71.5,70.66666667,79.25,61.25,63.75,-3.071428571,-2.875,-3.111111111,0.0,0.8,0.0,0.2,1.0,0.2,0,0,0,2,1,New Zealand,China,26-03-2023,Friendly,0.1,0.0
1618.232721,1685.957386,-67.72466487,76.21428571,84,74.25,77.1,72.41666667,60.41666667,65.91666667,75.71428571,83,77.33333333,74.88888889,69.08333333,63.91666667,69.83333333,0.5,-3.083333333,2.211111111,0.8,1.0,0.0,1.8,1.4,0.6,0,0,0,2,0,Slovakia,Bosnia and Herzegovina,26-03-2023,European Championship qual,0.0,0.0
1969.730126,1809.192018,160.5381074,85.28571429,90,85.625,84.71428571,77.0,72.07692308,80.07692308,76.85714286,82,76.625,76.625,75.0,66.16666667,72.83333333,8.428571429,9.0,8.089285714,1.8,0.6,0.6,1.8,0.8,0.4,0,0,0,2,0,England,Ukraine,26-03-2023,European Championship qual,0.25,0.0
1515.938034,1938.119734,-422.1816997,67.0,76,66.75,66.9,69.08333333,48.75,59.83333333,84.71428571,89,85.0,84.0,76.25,73.75,78.5,-17.71428571,-18.25,-17.1,1.2,1.0,0.2,2.6,0.8,0.6,0,0,0,0,6,Luxembourg,Portugal,26-03-2023,European Championship qual,0.0,0.3
1509.330945,1669.177212,-159.8462676,70.28571429,78,70.77777778,69.25,76.78571429,61.35714286,60.92857143,77.14285714,85,76.5,77.625,78.28571429,59.35714286,65.78571429,-6.857142857,-5.722222222,-8.375,1.0,0.6,0.4,1.6,1.4,0.6,0,0,0,1,1,Angola,Ghana,27-03-2023,African Nations Cup qualifier,0.0,0.0
1792.272426,1366.15603,426.1163964,77.35714286,86,78.57142857,77.0,71.0,67.5,74.14285714,55.0,55,55.0,55.0,72.92857143,62.57142857,66.42857143,22.35714286,23.57142857,22.0,1.2,1.0,0.6,0.8,2.2,0.0,1,0,0,1,0,Algeria,Niger,27-03-2023,African Nations Cup qualifier,0.0,0.0
1990.020814,1279.441257,710.5795565,83.21428571,89,82.14285714,83.77777778,78.92307692,65.15384615,73.46153846,58.0,58,58.0,58.0,65.0,44.5,46.5,25.21428571,24.14285714,25.77777778,1.6,1.6,0.4,1.0,2.0,0.4,0,0,0,3,0,Netherlands,Gibraltar,27-03-2023,European Championship qual,0.1,0.0
1838.004063,1532.414664,305.5893981,76.64285714,79,76.85714286,76.375,75.46153846,60.0,67.46153846,64.0,67,67.0,63.0,62.0,56.33333333,53.0,12.64285714,9.857142857,13.375,2.0,1.2,0.4,0.8,1.8,0.0,0,0,0,1,0,United States,El Salvador,27-03-2023,CONCACAF Nations League A,0.075,0.0
1803.311225,1474.863551,328.4476742,77.07142857,81,77.625,76.0,72.30769231,66.46153846,72.23076923,65.83333333,71,65.0,70.5,71.4,57.4,50.8,11.23809524,12.625,5.5,1.6,1.0,0.8,2.2,1.4,0.8,0,0,0,5,0,Sweden,Azerbaijan,27-03-2023,European Championship qual,0.0,0.0
